Code,GCD,PLD,LCD,PLD-a,PLD-b,PLD-c,LCD-a,LCD-b,LCD-c,Unitcell_volume,Density,AV_A^3,AV_Volume_fraction,AV_cm^3/g,NAV_A^3,NAV_Volume_fraction,NAV_cm^3/g,Number of channels,Min dimension of channel,Max dimension of channel,ASA_A^2,ASA_m^2/cm^3,ASA_m^2/g,NASA_A^2,NASA_m^2/cm^3,NASA_m^2/g,Minimum Z,Maximum Z,Range Z,Mean Z,Std_dev Z,Minimum van_der_waals_radius,Maximum van_der_waals_radius,Range van_der_waals_radius,Mean van_der_waals_radius,Std_dev van_der_waals_radius,Minimum mendeleev_no,Maximum mendeleev_no,Range mendeleev_no,Mean mendeleev_no,Std_dev mendeleev_no,Minimum molar_volume,Maximum molar_volume,Range molar_volume,Mean molar_volume,Std_dev molar_volume,Minimum thermal_conductivity,Maximum thermal_conductivity,Range thermal_conductivity,Mean thermal_conductivity,Std_dev thermal_conductivity,Minimum boiling_point,Maximum boiling_point,Range boiling_point,Mean boiling_point,Std_dev boiling_point,Minimum melting_point,Maximum melting_point,Range melting_point,Mean melting_point,Std_dev melting_point,Minimum liquid_Range,Maximum liquid_Range,Range liquid_range,Mean liquid_range,Std_dev liquid_range,Ring topology size-3,Ring topology size-4,Ring topology size-5,Ring topology size-6,Ring topology size-7,Ring topology size-8,Ring topology size-9,Ring topology size-10,Ring topology size-11,Ring topology size-12,Ring topology size-13,Ring topology size-14,Ring topology size-15,Ring topology size-16,Ring topology size-17,Ring topology size-18,Ring topology size-19,Ring topology size-20,Ring topology size-21,Ring topology size-22,Ring topology size-23,Ring topology size-24,Ring topology size-25,Ring topology size-26,Ring topology size-27,Ring topology size-28,Ring topology size-29,Ring topology size-30,Cluster
10,7.89885,7.25492,7.89885,7.25492,2.33303,1.62991,7.89885,7.67987,7.89885,2145.16,1.67437,346.873,0.1617,0.0965738,0,0,0,1,1,1,317.642,1480.74,884.358,0,0,0,8,16,8,10.02083333,4.265254997,1.52,2.1,0.58,1.710208333,0.402978688,85,101,16,95.76041667,11.11346656,12.06,17.36,5.3,15.62947917,3.680289448,0.02658,150,149.97342,48.45735542,104.4002752,90.2,3173,3082.8,1092.225729,2141.423872,54.8,1687,1632.2,585.3391667,1133.779905,35.4,1486,1450.6,506.8865625,1007.644,0.016393443,0.147540984,0.31147541,0.295081967,0.114754098,0.114754098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
11,5.87166,3.82916,5.79894,3.82916,2.14451,1.81829,5.79894,5.8656,5.87166,1776.31,1.80992,130.026,0.0732,0.0404437,0,0,0,1,1,1,221.6,1247.53,689.27,1.67802,9.44662,5.21935,8,14,6,10,4.242640687,1.52,2.1,0.58,1.713333333,0.410121933,85,101,16,95.66666667,11.3137085,12.06,17.36,5.3,15.59333333,3.74766594,0.02658,150,149.97342,50.01772,106.0472223,90.2,3173,3082.8,1117.8,2179.868785,54.8,1687,1632.2,598.8666667,1154.139688,35.4,1486,1450.6,518.9333333,1025.729097,0,0.209677419,0.14516129,0.225806452,0.177419355,0.14516129,0.016129032,0.048387097,0,0.032258065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
12,8.09302,6.8343,8.09302,6.8343,2.26834,1.5029,8.09302,7.89483,7.61581,1482.2,1.61552,265.313,0.179,0.1108,0,0,0,1,1,1,232.379,1567.8,970.46,0,0,0,8,14,6,10,4.242640687,1.52,2.1,0.58,1.713333333,0.410121933,85,101,16,95.66666667,11.3137085,12.06,17.36,5.3,15.59333333,3.74766594,0.02658,150,149.97342,50.01772,106.0472223,90.2,3173,3082.8,1117.8,2179.868785,54.8,1687,1632.2,598.8666667,1154.139688,35.4,1486,1450.6,518.9333333,1025.729097,0.060606061,0.151515152,0.303030303,0.242424242,0.242424242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
13,12.10281,9.21639,12.10281,9.21639,1.69421,1.97961,12.10281,10.65136,12.10281,6116.85,1.56257,1573.87,0.2573,0.164664,0,0,0,1,1,1,780.109,1275.34,816.182,4.70547,7.69263,4.92306,3,14,11,9.923611111,4.279682472,1.52,2.1,0.58,1.711388889,0.405409395,12,101,89,95.15972222,15.2527964,12.06,17.36,5.3,15.6,3.716506173,0.02658,150,149.97342,49.56633111,104.8633533,90.2,3173,3082.8,1106.980556,2154.549123,54.8,1687,1632.2,590.3020139,1140.367546,35.4,1486,1450.6,516.6785417,1016.564424,0.006060606,0.163636364,0.23030303,0.242424242,0.23030303,0.072727273,0.036363636,0.018181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
14,6.45278,5.43256,6.45278,5.43256,2.36717,2.36717,6.45278,6.04701,6.04701,1468.34,1.62808,134.207,0.0914,0.0561398,2.93669,0.002,0.00122844,1,1,1,183.812,1251.83,768.904,14.4782,98.6024,60.5637,8,14,6,10,4.242640687,1.52,2.1,0.58,1.713333333,0.410121933,85,101,16,95.66666667,11.3137085,12.06,17.36,5.3,15.59333333,3.74766594,0.02658,150,149.97342,50.01772,106.0472223,90.2,3173,3082.8,1117.8,2179.868785,54.8,1687,1632.2,598.8666667,1154.139688,35.4,1486,1450.6,518.9333333,1025.729097,0.029411765,0.176470588,0.294117647,0.264705882,0.147058824,0.088235294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
15,5.29794,3.51788,5.29794,3.3945,3.51788,1.79383,5.29794,5.29794,5.22384,700.524,1.41116,77.9684,0.1113,0.0788713,0,0,0,1,2,2,170.995,2440.96,1729.75,0,0,0,8,14,6,9.854166667,3.733630941,1.52,2.1,0.58,1.675416667,0.328474207,80,101,21,94.9375,12.30365799,10,17.36,7.36,15.29291667,4.221194679,0.02658,235,234.97342,62.41355333,129.5493208,90.2,3173,3082.8,1062.2375,1951.885606,54.8,1687,1632.2,488.976875,921.2315278,35.4,1858.53,1823.13,573.260625,1087.196693,0,0.375,0,0.5,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
16,7.30801,5.90106,7.18745,5.90106,1.67234,2.77994,7.18745,7.29066,7.18745,1162.11,1.54537,200.813,0.1728,0.111818,0,0,0,1,1,1,222.802,1917.22,1240.62,0,0,0,8,14,6,9.833333333,3.689323937,1.52,2.1,0.58,1.67,0.31822424,80,101,21,94.83333333,12.50111106,10,17.36,7.36,15.25,4.302983461,0.02658,235,234.97342,64.18438667,132.9250288,90.2,3173,3082.8,1054.3,1934.463424,54.8,1687,1632.2,473.2783333,891.7012048,35.4,1858.53,1823.13,581.0216667,1101.790261,0.105263158,0.263157895,0.210526316,0.157894737,0.263157895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
17,7.26829,6.21775,7.26829,6.21775,5.49173,1.23601,7.26829,7.26829,6.98199,1516.36,1.57913,373.327,0.2462,0.155909,0,0,0,1,2,2,290.877,1918.26,1214.76,0,0,0,3,15,12,9.944444444,4.039869573,1.52,2.1,0.58,1.641111111,0.247674752,12,101,89,94.7962963,15.60169458,10,17.36,7.36,15.91,3.753547607,0.02658,235,234.97342,43.19621463,117.8831501,90.2,3173,3082.8,738.9833333,1544.289232,54.8,1687,1632.2,320.3494444,645.5366913,35.4,1858.53,1823.13,418.6338889,941.9136466,0,0.175,0.2,0.45,0.15,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
18,8.98466,7.46011,8.92726,7.46011,7.11826,1.39542,8.92726,8.92913,8.85237,3718.18,1.27423,1196.14,0.3217,0.252466,0,0,0,1,2,2,630.952,1696.94,1331.74,0,0,0,8,14,6,10,4.242640687,1.52,2.1,0.58,1.713333333,0.410121933,85,101,16,95.66666667,11.3137085,12.06,17.36,5.3,15.59333333,3.74766594,0.02658,150,149.97342,50.01772,106.0472223,90.2,3173,3082.8,1117.8,2179.868785,54.8,1687,1632.2,598.8666667,1154.139688,35.4,1486,1450.6,518.9333333,1025.729097,0.026666667,0.173333333,0.333333333,0.253333333,0.186666667,0.026666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
19,9.9715,8.31778,9.95364,8.31778,1.93631,2.33033,9.95364,9.55524,8.86933,3091.09,1.54931,685.604,0.2218,0.143161,0,0,0,1,1,1,431.258,1395.16,900.51,0.731223,2.36558,1.52687,8,14,6,9.90625,3.81176543,1.52,2.1,0.58,1.685555556,0.344551635,80,101,21,95.03819444,12.01788866,10,17.36,7.36,15.33888889,4.099652703,0.02658,235,234.97342,60.27804438,124.3429529,90.2,3173,3082.8,1084.847917,1984.052807,54.8,1687,1632.2,518.1920486,967.4080377,35.4,1858.53,1823.13,566.6558681,1066.667504,0,0.118421053,0.460526316,0.236842105,0.157894737,0.026315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
20,5.84607,4.15869,5.84607,4.15869,1.58999,1.54837,5.84607,5.84607,5.84607,991.072,1.61073,97.125,0.098,0.060842,0.0991072,0.0001,6.21E-05,1,1,1,160.58,1620.26,1005.92,4.14233,41.7965,25.9488,8,14,6,10,4.242640687,1.52,2.1,0.58,1.713333333,0.410121933,85,101,16,95.66666667,11.3137085,12.06,17.36,5.3,15.59333333,3.74766594,0.02658,150,149.97342,50.01772,106.0472223,90.2,3173,3082.8,1117.8,2179.868785,54.8,1687,1632.2,598.8666667,1154.139688,35.4,1486,1450.6,518.9333333,1025.729097,0.076923077,0.153846154,0.076923077,0.269230769,0,0.038461538,0.076923077,0.307692308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
21,11.42219,10.14097,11.42219,10.14097,10.14097,1.67133,11.41499,11.42219,11.19204,3310.15,0.97058,1617.34,0.4886,0.50341,0,0,0,1,2,2,492.455,1487.71,1532.81,0,0,0,8,14,6,10,4.242640687,1.52,2.1,0.58,1.713333333,0.410121933,85,101,16,95.66666667,11.3137085,12.06,17.36,5.3,15.59333333,3.74766594,0.02658,150,149.97342,50.01772,106.0472223,90.2,3173,3082.8,1117.8,2179.868785,54.8,1687,1632.2,598.8666667,1154.139688,35.4,1486,1450.6,518.9333333,1025.729097,0.041666667,0.208333333,0.354166667,0.270833333,0.104166667,0.020833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
22,6.49122,4.35503,6.41523,4.35503,2.07925,1.74625,6.41523,5.84105,6.41523,2157.35,1.6649,232.347,0.1077,0.0646884,0.43147,0.0002,0.000120127,1,1,1,367.505,1703.5,1023.18,6.4642,29.9636,17.9972,8,14,6,10,4.242640687,1.52,2.1,0.58,1.713333333,0.410121933,85,101,16,95.66666667,11.3137085,12.06,17.36,5.3,15.59333333,3.74766594,0.02658,150,149.97342,50.01772,106.0472223,90.2,3173,3082.8,1117.8,2179.868785,54.8,1687,1632.2,598.8666667,1154.139688,35.4,1486,1450.6,518.9333333,1025.729097,0,0.212765957,0.191489362,0.29787234,0.234042553,0.063829787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
23,8.12823,6.60105,8.12823,6.60105,6.60105,1.55711,8.11028,8.12823,7.82182,1386.97,1.29483,403.054,0.2906,0.224431,0,0,0,1,2,2,265.164,1911.82,1476.5,0,0,0,8,14,6,10,4.242640687,1.52,2.1,0.58,1.713333333,0.410121933,85,101,16,95.66666667,11.3137085,12.06,17.36,5.3,15.59333333,3.74766594,0.02658,150,149.97342,50.01772,106.0472223,90.2,3173,3082.8,1117.8,2179.868785,54.8,1687,1632.2,598.8666667,1154.139688,35.4,1486,1450.6,518.9333333,1025.729097,0,0.242424242,0.545454545,0.212121212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24,6.55434,4.58847,6.48692,4.58847,1.88425,1.85283,6.48692,6.55434,5.87545,1244.71,1.76345,91.486,0.0735,0.0416797,0,0,0,1,1,1,149.156,1198.32,679.534,0,0,0,8,14,6,9.979166667,4.143420289,1.52,2.1,0.58,1.707916667,0.396573081,80,101,21,95.5625,11.41618246,10,17.36,7.36,15.55041667,3.807547832,0.02658,235,234.97342,51.78855333,109.6455739,90.2,3173,3082.8,1109.8625,2133.478368,54.8,1687,1632.2,583.168125,1115.689364,35.4,1858.53,1823.13,526.694375,1030.133624,0.025641026,0.102564103,0.102564103,0.307692308,0.179487179,0.153846154,0,0,0,0.128205128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
25,7.74696,6.2801,7.74696,6.2801,3.36836,1.27501,7.74696,7.74696,7.69074,1117.8,1.60664,196.956,0.1762,0.10967,0,0,0,1,2,2,204.513,1829.6,1138.78,0,0,0,4,14,10,9.925925926,4.251613581,1.52,2.1,0.58,1.708009259,0.407196331,77,101,24,95.7037037,11.38375888,4.85,17.36,12.51,15.58449074,3.8760642,0.02658,190,189.97342,49.5085838,106.1629841,90.2,3173,3082.8,1101.532407,2168.657547,54.8,1687,1632.2,590.7222222,1149.047402,35.4,1486,1450.6,510.8101852,1019.707852,0.115384615,0.153846154,0.230769231,0.230769231,0.230769231,0,0,0.038461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26,5.49682,4.77402,5.4914,4.77402,3.58926,1.5468,5.4914,5.49682,4.97584,687.54,1.45114,90.4803,0.1316,0.0906872,0,0,0,1,2,2,152.533,2218.54,1528.82,0,0,0,8,14,6,9.944444444,4.000811606,1.52,2.1,0.58,1.698888889,0.375817723,80,101,21,95.38888889,11.6153168,10,17.36,7.36,15.47888889,3.911897603,0.02658,235,234.97342,54.73994222,115.325533,90.2,3173,3082.8,1096.633333,2067.908527,54.8,1687,1632.2,557.0038889,1056.66831,35.4,1858.53,1823.13,539.6294444,1040.834925,0,0.266666667,0.4,0.133333333,0,0.066666667,0,0.066666667,0,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
27,6.449,5.41502,6.34504,5.41502,4.43476,1.43765,6.34504,6.449,6.449,1130.13,1.57134,210.996,0.1867,0.118816,0,0,0,1,2,2,221.462,1959.61,1247.1,0,0,0,8,14,6,10,4.242640687,1.52,2.1,0.58,1.713333333,0.410121933,85,101,16,95.66666667,11.3137085,12.06,17.36,5.3,15.59333333,3.74766594,0.02658,150,149.97342,50.01772,106.0472223,90.2,3173,3082.8,1117.8,2179.868785,54.8,1687,1632.2,598.8666667,1154.139688,35.4,1486,1450.6,518.9333333,1025.729097,0,0.242424242,0.181818182,0.121212121,0.151515152,0.03030303,0,0.272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28,7.06768,5.24155,7.06768,5.24155,5.22632,1.60898,7.06768,7.06768,6.51993,1152.19,1.38549,265.35,0.2303,0.166223,0,0,0,1,2,2,255.137,2214.36,1598.25,0,0,0,8,14,6,10,4.242640687,1.52,2.1,0.58,1.713333333,0.410121933,85,101,16,95.66666667,11.3137085,12.06,17.36,5.3,15.59333333,3.74766594,0.02658,150,149.97342,50.01772,106.0472223,90.2,3173,3082.8,1117.8,2179.868785,54.8,1687,1632.2,598.8666667,1154.139688,35.4,1486,1450.6,518.9333333,1025.729097,0.083333333,0.125,0.583333333,0.208333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,5.37633,4.38997,5.30411,4.38997,3.16033,3.16033,5.30411,4.91331,5.10888,645.26,1.54623,64.526,0.1,0.0646735,0,0,0,1,2,2,138.912,2152.8,1392.29,0,0,0,8,14,6,10,4.242640687,1.52,2.1,0.58,1.713333333,0.410121933,85,101,16,95.66666667,11.3137085,12.06,17.36,5.3,15.59333333,3.74766594,0.02658,150,149.97342,50.01772,106.0472223,90.2,3173,3082.8,1117.8,2179.868785,54.8,1687,1632.2,598.8666667,1154.139688,35.4,1486,1450.6,518.9333333,1025.729097,0,0.272727273,0,0.045454545,0,0.136363636,0,0.454545455,0,0.090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30,8.17573,5.9466,8.09282,5.9466,1.77407,1.83235,8.09282,8.09282,7.54197,1615.6,1.51655,267.867,0.1658,0.109327,0,0,0,1,1,1,264.783,1638.91,1080.68,0,0,0,8,14,6,9.866666667,3.763072453,1.52,2.1,0.58,1.678666667,0.334685353,80,101,21,95,12.19265001,10,17.36,7.36,15.31866667,4.17427667,0.02658,235,234.97342,61.35105333,127.5581437,90.2,3173,3082.8,1067,1963.904425,54.8,1687,1632.2,498.396,939.0837544,35.4,1858.53,1823.13,568.604,1079.169416,0,0.111111111,0.111111111,0.466666667,0.155555556,0.155555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
31,5.02173,3.77254,5.02173,2.53372,3.77254,1.87077,4.93781,5.02173,5.02173,780.818,1.52395,50.1285,0.0642,0.0421273,0.312327,0.0004,0.000262475,1,1,1,112.642,1442.61,946.625,3.61148,46.2526,30.3504,8,14,6,10,4.242640687,1.52,2.1,0.58,1.713333333,0.410121933,85,101,16,95.66666667,11.3137085,12.06,17.36,5.3,15.59333333,3.74766594,0.02658,150,149.97342,50.01772,106.0472223,90.2,3173,3082.8,1117.8,2179.868785,54.8,1687,1632.2,598.8666667,1154.139688,35.4,1486,1450.6,518.9333333,1025.729097,0.05,0.3,0.1,0.1,0,0.25,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
32,8.9841,6.57986,8.9841,6.57986,5.22949,2.53836,8.9841,7.85063,8.89854,2396.39,1.30051,566.267,0.2363,0.181699,0,0,0,1,2,2,457.997,1911.2,1469.58,0,0,0,8,14,6,10.025,4.125076254,1.52,2.1,0.58,1.711666667,0.394158055,80,101,21,95.40833333,11.42852762,10,17.36,7.36,15.49766667,3.815928473,0.02658,235,234.97342,53.3924985,110.1946862,90.2,3173,3082.8,1133.965,2124.816709,54.8,1687,1632.2,593.6300833,1108.84436,35.4,1858.53,1823.13,540.3349167,1030.441202,0,0.130434783,0.543478261,0.282608696,0,0.043478261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
